run_id,timestamp,dataset_name,split,domain,student_name,student_backbone,student_ckpt,train_method,image_id,image_path,condition,student_miou,student_risk,student_pixel_acc,student_msp,student_msp_std,student_entropy,student_entropy_std,temp_msp,temp_entropy,low_conf_frac_050,low_conf_frac_070,n_valid_pixels,student_latency_ms,guardrail_latency_ms,teacher_latency_ms,student_miou_near,student_risk_near,n_near_pixels,student_miou_dynamic,student_risk_dynamic,n_dynamic_pixels,mc_entropy,mc_mutual_info,mc_dropout_latency_ms,guardrailpp_utility_dense_bce,guardrailpp_keep_dense_bce,guardrailpp_utility_dense_gap_raw,guardrailpp_utility_dense_gap,guardrailpp_keep_dense_gap,guardrailpp_utility_scalar,guardrailpp_utility,guardrailpp_keep,guardrail_risk,guardrail_keep,teacher_miou,teacher_risk,teacher_pixel_acc,teacher_miou_near,teacher_risk_near,teacher_benefit_near,teacher_miou_dynamic,teacher_risk_dynamic,teacher_benefit_dynamic,teacher_gain,teacher_benefit,teacher_gap,student_better_gap,oracle_keep,oracle_fail,disagreement_rate,confident_wrong_teacher_right,n_confident_pixels,energy_score,max_logit
acdc_b1_skd_dense_disagree_fog,2026-04-14 00:14:07,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000761_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000761_rgb_anon.png,fog,0.4647433315869557,0.5352566684130442,0.9648255705833436,0.9870177507400512,0.0605907179415226,0.039112452417612,0.1499125510454177,0.9571436643600464,0.1614352911710739,0.0030624489299952,0.0150955813005566,240004,3.00850800704211,3.987826523371041,8.315280749229714,0.3508971410951217,0.6491028589048783,68692,0.9872386641325008,0.0127613358674992,3683,0.0403552092611789,0.0007076649926602,8.251137507613748,0.0536389984190464,0.9463610015809536,0.4484899640083313,0.6102801561355591,0.3897198438644409,0.4561619162559509,0.6102801561355591,0.3897198438644409,0.6102801561355591,0.3897198438644409,0.5376894068553993,0.4623105931446006,0.971983790397644,0.4544428726631055,0.5455571273368944,0.1035457315679838,0.9945696443117024,0.0054303556882976,0.0073309801792016,0.0729460752684435,0.0729460752684435,0.018678855150938,0.0115206409245729,0.9270539247315563,0.0729460752684435,0.0332786105573177,0.0109414840117096,231111,,
acdc_b1_skd_dense_disagree_fog,2026-04-14 00:14:07,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000769_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000769_rgb_anon.png,fog,0.4645336591178491,0.535466340882151,0.8989791870117188,0.9718801975250244,0.0919689685106277,0.0762616842985153,0.2151668965816497,0.9269542098045348,0.2480801343917846,0.0075433538295328,0.0377247929573059,249226,3.00850800704211,3.987826523371041,8.315280749229714,0.357934896664542,0.6420651033354581,81531,0.5128662667890901,0.4871337332109099,5294,0.0777093470096588,0.0009111321996897,8.251137507613748,0.0364331007003784,0.9635668992996216,0.3264106810092926,0.5808858275413513,0.4191141724586487,0.4372844099998474,0.5808858275413513,0.4191141724586487,0.5808858275413513,0.4191141724586487,0.6849005351695995,0.3150994648304005,0.9607544541358948,0.6227280681802261,0.3772719318197739,0.2647931715156841,0.6755742012034918,0.3244257987965082,0.1627079344144016,0.2203668760517504,0.2203668760517504,0.0713448822498321,0.0095696272328495,0.7796331239482496,0.2203668760517504,0.0859781876206398,0.0468851551413536,229201,,
acdc_b1_skd_dense_disagree_fog,2026-04-14 00:14:07,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000775_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000775_rgb_anon.png,fog,0.5157662734873681,0.4842337265126318,0.90692538022995,0.9742485880851746,0.0807496011257171,0.0691651329398155,0.1756396442651748,0.9312611222267152,0.2242277860641479,0.0024857800453901,0.0300375092774629,249821,3.00850800704211,3.987826523371041,8.315280749229714,0.5143418769405075,0.4856581230594925,82341,0.3099378881987578,0.6900621118012422,905,0.0705575570464134,0.0007823702762834,8.251137507613748,0.0347835309803485,0.9652164690196514,0.3442048132419586,0.5852115750312805,0.4147884249687195,0.4277851581573486,0.5852115750312805,0.4147884249687195,0.5852115750312805,0.4147884249687195,0.6899894539733893,0.3100105460266107,0.9629135131835938,0.6901948446665294,0.3098051553334706,0.1758529677260218,0.6176708074534162,0.3823291925465838,0.3077329192546584,0.1742231804860211,0.1742231804860211,0.0690334290266037,0.0130453407764434,0.8257768195139789,0.1742231804860211,0.0875827148556709,0.0530179627239704,230584,,
acdc_b1_skd_dense_disagree_fog,2026-04-14 00:14:07,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000781_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000781_rgb_anon.png,fog,0.4674050509644857,0.5325949490355142,0.8641480207443237,0.9734954237937928,0.0866728648543357,0.0700117349624633,0.1946722567081451,0.9353026151657104,0.2082062363624572,0.0048752892762422,0.0347359478473663,254549,3.00850800704211,3.987826523371041,8.315280749229714,0.33877378043924,0.6612262195607599,83034,0.4722513089005236,0.5277486910994764,5730,0.0715779289603233,0.0012027943739667,8.251137507613748,0.0266819018870592,0.9733180981129408,0.3950301706790924,0.5974929928779602,0.4025070071220398,0.4240199029445648,0.5974929928779602,0.4025070071220398,0.5974929928779602,0.4025070071220398,0.6401151603169498,0.3598848396830502,0.9611116647720336,0.4515865145895821,0.5484134854104179,0.1128127341503419,0.3054682955206515,0.6945317044793484,0.0,0.172710109352464,0.172710109352464,0.1062624529004097,0.0092987995594739,0.827289890647536,0.172710109352464,0.1253039687871933,0.0717582926154136,233688,,
acdc_b1_skd_dense_disagree_fog,2026-04-14 00:14:07,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000788_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000788_rgb_anon.png,fog,0.4177288993770805,0.5822711006229195,0.877720296382904,0.9670838117599488,0.0981447994709014,0.0876500606536865,0.2256403267383575,0.921050786972046,0.2537736892700195,0.0078996839001774,0.0437952354550361,247858,2.2738080006092787,3.979252243880184,8.293796505313367,0.3096689584961025,0.6903310415038975,75477,0.263941881739878,0.736058118260122,2978,0.0896302610635757,0.0014068257296457,7.253501244122162,0.0369083397090435,0.9630916602909564,0.4537153542041778,0.6115221977233887,0.3884778022766113,0.4201669096946716,0.6115221977233887,0.3884778022766113,0.6115221977233887,0.3884778022766113,0.5376686772772825,0.4623313227227175,0.9570398926734924,0.3651212420184876,0.6348787579815123,0.0554522835223851,0.2383275928052047,0.7616724071947952,0.0,0.119939777900202,0.119939777900202,0.0885345637798309,0.0092149535194039,0.880060222099798,0.119939777900202,0.1058589965105056,0.0602199621498584,223493,,
acdc_b1_skd_dense_disagree_fog,2026-04-14 00:14:07,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000798_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000798_rgb_anon.png,fog,0.2802337262348419,0.7197662737651581,0.7824729681015015,0.9793149828910828,0.0714604035019874,0.0649910941720008,0.1737083941698074,0.9290960431098938,0.2549546360969543,0.0037243366241455,0.0223499163985252,256690,2.2738080006092787,3.979252243880184,8.293796505313367,0.1637004056474222,0.8362995943525777,83067,0.5257274309718359,0.474272569028164,26697,0.0672734454274177,0.0011266757501289,7.253501244122162,0.0502236895263195,0.9497763104736804,0.3020629584789276,0.5749467611312866,0.4250532388687134,0.4352030158042907,0.5749467611312866,0.4250532388687134,0.5749467611312866,0.4250532388687134,0.5721625807702789,0.427837419229721,0.9550780653953552,0.488228718343158,0.5117712816568419,0.3245283126957358,0.6386705380312324,0.3613294619687676,0.1129431070593964,0.291928854535437,0.291928854535437,0.1771163642406463,0.0045112781226634,0.708071145464563,0.291928854535437,0.2047255337238311,0.1398340314626693,242679,,
acdc_b1_skd_dense_disagree_fog,2026-04-14 00:14:07,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000826_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000826_rgb_anon.png,fog,0.3994264835011756,0.6005735164988244,0.8750948309898376,0.9619385600090028,0.1033916100859642,0.0985602661967277,0.2308711260557174,0.9150649905204772,0.2543358504772186,0.0079420842230319,0.0509008094668388,249053,2.2738080006092787,3.979252243880184,8.293796505313367,0.2615058470221021,0.7384941529778979,75219,0.4719783929777177,0.5280216070222823,7582,0.0998939871788024,0.0008919717511162,7.253501244122162,0.0540953949093818,0.945904605090618,0.3573048412799835,0.5883878469467163,0.4116121530532837,0.4034162163734436,0.5883878469467163,0.4116121530532837,0.5883878469467163,0.4116121530532837,0.4862313431866623,0.5137686568133377,0.956555426120758,0.3975583042275526,0.6024416957724474,0.1360524572054504,0.4854152599594868,0.5145847400405132,0.013436866981769,0.0868048596854866,0.0868048596854866,0.0925666391849517,0.0111060691997408,0.9131951403145132,0.0868048596854866,0.108498990535736,0.0610030777752399,221143,,
acdc_b1_skd_dense_disagree_fog,2026-04-14 00:14:07,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000834_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000834_rgb_anon.png,fog,0.4837413467148404,0.5162586532851596,0.8981649875640869,0.9308918118476868,0.1338216364383697,0.1729288101196289,0.2868965268135071,0.8554220199584961,0.419367641210556,0.0134643446654081,0.0988203063607215,240487,2.2738080006092787,3.979252243880184,8.293796505313367,0.284194442181923,0.715805557818077,75237,0.3097465419365156,0.6902534580634845,4169,0.1750718504190445,0.0016676228260621,7.253501244122162,0.0919301956892013,0.9080698043107986,0.1619889587163925,0.5404089093208313,0.4595910906791687,0.369591623544693,0.5404089093208313,0.4595910906791687,0.5404089093208313,0.4595910906791687,0.6061346300482442,0.3938653699517558,0.947577178478241,0.4004610811864508,0.5995389188135491,0.1162666390045278,0.4835692012473015,0.5164307987526985,0.173822659310786,0.1223932833334038,0.1223932833334038,0.0619368180632591,0.0125245852395892,0.8776067166665962,0.1223932833334038,0.0833891183137893,0.0090774139389395,191279,,
acdc_b1_skd_dense_disagree_fog,2026-04-14 00:14:07,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000840_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000840_rgb_anon.png,fog,0.3150603190710876,0.6849396809289123,0.8084163665771484,0.9433581233024596,0.1290542334318161,0.1524768322706222,0.3134074509143829,0.8744505643844604,0.3949193954467773,0.0178297739475965,0.079669639468193,240104,2.2045010118745267,3.979906003223732,8.279982750536874,0.1818486703008202,0.8181513296991798,80893,0.2941504653648907,0.7058495346351092,5654,0.1559457033872604,0.0022574251051992,7.229225506307557,0.080843985080719,0.919156014919281,0.2122536152601242,0.5528650879859924,0.4471349120140075,0.4214342832565307,0.5528650879859924,0.4471349120140075,0.5528650879859924,0.4471349120140075,0.4222284497423663,0.5777715502576337,0.8701104521751404,0.3313307951271713,0.6686692048728287,0.1494821248263511,0.3028951804522129,0.6971048195477871,0.0087447150873221,0.1071681306712786,0.1071681306712786,0.0702403932809829,0.0085462965071201,0.8928318693287214,0.1071681306712786,0.1550786346197128,0.0252473931759595,201318,,
acdc_b1_skd_dense_disagree_fog,2026-04-14 00:14:07,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000845_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000845_rgb_anon.png,fog,0.4448602139569492,0.5551397860430507,0.8917142152786255,0.9479740858078004,0.1172804832458496,0.1361083537340164,0.2621980607509613,0.8833745718002319,0.347128301858902,0.0106217646971344,0.0671841725707054,249017,2.2045010118745267,3.979906003223732,8.279982750536874,0.3942350771756128,0.6057649228243871,76059,0.4000923799956949,0.5999076200043051,1819,0.1381746977567672,0.0013187252916395,7.229225506307557,0.0784523487091064,0.9215476512908936,0.2582646310329437,0.5642096400260925,0.4357903599739074,0.4174804389476776,0.5642096400260925,0.4357903599739074,0.5642096400260925,0.4357903599739074,0.5745911929210455,0.4254088070789544,0.9428753852844238,0.5276157900426897,0.4723842099573103,0.1333807128670767,0.4610515982364288,0.5389484017635713,0.0609592182407338,0.1297309789640962,0.1297309789640962,0.0695374235510826,0.0183762554079294,0.8702690210359038,0.1297309789640962,0.0981338620185852,0.0314998589456081,209484,,
